Column1,name,artists,popularity,release_date,id,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,mood
10,The Rumbling,SiM,75,07-02-2022,6k0X05danQOXSBTVek5DU1,220799,FALSE,0.459,0.878,5,-1.399,0,0.0688,5.62E-05,0.000307,0.371,0.494,144.852,Energetic
12,"My War (From ""Attack on Titan"")",Miura Jam,51,30-12-2020,3jWNreHk8zyP5KUHyuoXf1,91554,FALSE,0.434,0.957,9,-4.772,1,0.115,0.0188,0.0185,0.303,0.463,144.167,Energetic
13,Boulevard of Broken Dreams,Green Day,82,17-11-2017,5GorCbAP4aL0EJ16frG2hd,262333,TRUE,0.496,0.682,8,-4.095,1,0.0294,0.00552,2.94E-05,0.0589,0.474,167.06,Energetic
14,Holiday,Green Day,76,30-03-2005,5vfjUAhefN7IjHbTvVCT4Z,233027,FALSE,0.538,0.884,8,-3.251,1,0.031,0.000138,0,0.466,0.736,146.511,Energetic
17,the WORLD,Nightmare,36,28-02-2007,1g0SlTCGN9j3OicWHfSKEn,228120,FALSE,0.531,0.904,11,-3.869,0,0.0419,0.00353,0,0.328,0.753,94.999,Energetic
18,RISE,"League of Legends, Mako, The Word Alive, The Glitch Mob",77,28-09-2018,69Sy7207dnixZ6w7RSV9Kb,192881,FALSE,0.459,0.663,8,-5.939,0,0.1,0.0169,0,0.0621,0.412,176.791,Energetic
19,Red Swan,"Yoshiki, HYDE",48,03-10-2018,4GNMgGyZcgnE4nEdYFWJGn,263720,FALSE,0.275,0.782,10,-4.689,1,0.0467,0.0521,2.25E-06,0.331,0.154,131.744,Energetic
32,Wonderwall,Oasis,41,13-11-2006,0ViKGBsiDt52DwsLALWDSr,258080,FALSE,0.407,0.889,6,-4.362,0,0.0325,0.000691,0,0.189,0.699,174.585,Energetic
34,Titanium (feat. Sia),"David Guetta, Sia",83,07-12-2012,0TDLuuLlV54CkRRUOahJb4,245040,FALSE,0.604,0.787,0,-3.674,0,0.103,0.0679,0.15,0.127,0.301,126.062,Energetic
37,Radioactive,Imagine Dragons,83,04-09-2012,62yJjFtgkhUrXktIoSjgP2,186813,FALSE,0.448,0.784,9,-3.686,1,0.0627,0.106,0.000108,0.668,0.236,136.245,Energetic
41,Uptown Girl,Billy Joel,83,08-08-1983,5zA8vzDGqPl2AzZkEYQGKh,197707,FALSE,0.701,0.944,4,-2.986,1,0.0455,0.0755,0,0.601,0.792,128.993,Energetic
43,Bad Guy,The Interrupters,56,04-10-2019,0iM1Ioz4N4p7MU1DKyqsov,157832,FALSE,0.563,0.814,7,-4.219,0,0.0558,0.00983,0.0437,0.0732,0.796,140.615,Energetic
54,Everlong,Foo Fighters,87,20-05-1997,5UWwZ5lm5PKu6eKsHAGxOk,250547,FALSE,0.413,0.881,11,-5.541,0,0.0367,5.99E-05,0.000308,0.0805,0.364,158.066,Energetic
78,No Good,KALEO,66,10-06-2016,0Tr5G2mE56eLUGvCaXRM8I,234240,FALSE,0.378,0.925,9,-3.781,1,0.185,0.0234,0.00062,0.18,0.584,108.525,Energetic
126,Red (Taylor's Version),Taylor Swift,81,12-11-2021,4OAuvHryIVv4kMDNSLuPt6,223093,FALSE,0.516,0.777,1,-4.908,0,0.0375,0.00108,1.62E-06,0.0761,0.408,125.047,Energetic
129,Long Live,Taylor Swift,56,25-10-2010,4ewAfHYpDTzpW1GKO44CVP,317960,FALSE,0.412,0.682,7,-4.319,1,0.0339,0.0426,7.47E-05,0.106,0.146,203.959,Energetic
132,The Story Of Us,Taylor Swift,56,25-10-2010,3lXekiVK1ZPZbKconsys73,265680,FALSE,0.575,0.855,9,-4.827,1,0.0467,0.000315,0.00161,0.0419,0.84,139.92,Energetic
149,Badtameez Dil,"Pritam, Benny Dayal, Shefali Alvares",68,30-03-2013,4eu27jAU2bbnyHUC3G75U8,252760,FALSE,0.806,0.932,2,-2.228,0,0.0684,0.24,0,0.216,0.792,106.021,Energetic
162,"Chogada (From ""Loveyatri"")","Darshan Raval, Asees Kaur, Lijo George-Dj Chetas",71,14-08-2018,4ymPEyiXabTe1NO8q8EFxG,249742,FALSE,0.359,0.972,7,-3.452,1,0.109,0.136,2.52E-06,0.14,0.595,62.914,Energetic
